sep=;
version                 ;timestamp               ;host                    ;vars ;batch-1     ;batch-256   ;map         ;
jvm-11-map              ;2026-08                 ;BATOU                   ;3    ;            ;            ;4388        ;
2.0.6-native            ;2026-08                 ;BATOU                   ;3    ;9360        ;2935        ;            ;
2.1.0-native            ;2026-08-31T07:15:52Z    ;BATOU                   ;3    ;4319.1      ;10458.4     ;            ;
2.1.0-native            ;2026-09-02T19:00:28Z    ;DESKTOP-KH0S3BP         ;3    ;3391.7      ;34594.8     ;            ;
